iter	Passed	Remaining
0	108	108314
1	155	77691
2	205	68339
3	274	68331
4	373	74268
5	441	73181
6	492	69878
7	535	66407
8	583	64211
9	628	62203
10	685	61605
11	740	60993
12	794	60329
13	837	58969
14	880	57795
15	931	57274
16	998	57756
17	1064	58070
18	1117	57706
19	1161	56936
20	1212	56516
21	1261	56080
22	1321	56144
23	1371	55761
24	1426	55616
25	1479	55411
26	1537	55401
27	1592	55281
28	1652	55340
29	1709	55272
30	1761	55047
31	1815	54924
32	1869	54775
33	1923	54656
34	1982	54669
35	2093	56046
36	2147	55902
37	2190	55459
38	2261	55716
39	2332	55980
40	2345	54871
41	2394	54612
42	2462	54796
43	2631	57171
44	2802	59480
45	2911	60373
46	2969	60208
47	3023	59968
48	3077	59728
49	3121	59305
50	3166	58917
51	3216	58632
52	3261	58279
53	3318	58133
54	3396	58360
55	3565	60098
56	3692	61091
57	3777	61351
58	3824	60989
59	3864	60539
60	3902	60076
61	3954	59829
62	4000	59493
63	4050	59245
64	4101	59002
65	4147	58687
66	4196	58436
67	4258	58366
68	4438	59887
69	4547	60417
70	4596	60147
71	4639	59800
72	4680	59430
73	4721	59088
74	4769	58824
75	4817	58566
76	4869	58370
77	4923	58200
78	4971	57955
79	5012	57649
80	5045	57250
81	5091	57003
82	5130	56686
83	5212	56845
84	5294	56995
85	5351	56875
86	5443	57128
87	5522	57234
88	5591	57232
89	5658	57210
90	5703	56967
91	5761	56862
92	5811	56682
93	5864	56519
94	5942	56613
95	6020	56689
96	6111	56892
97	6165	56746
98	6207	56495
99	6253	56285
100	6297	56050
101	6352	55929
102	6394	55684
103	6444	55525
104	6499	55403
105	6542	55175
106	6583	54942
107	6632	54778
108	6681	54615
109	6734	54489
110	6783	54332
111	6840	54237
112	6891	54095
113	6941	53950
114	6989	53789
115	7037	53631
116	7078	53420
117	7126	53265
118	7181	53167
119	7231	53028
120	7281	52898
121	7327	52736
122	7384	52655
123	7435	52524
124	7495	52467
125	7588	52637
126	7684	52821
127	7765	52902
128	7805	52699
129	7856	52577
130	7903	52430
131	7987	52524
132	8035	52378
133	8094	52310
134	8142	52173
135	8191	52038
136	8238	51897
137	8290	51786
138	8339	51657
139	8393	51558
140	8440	51424
141	8492	51313
142	8543	51199
143	8629	51297
144	8702	51313
145	8752	51197
146	8805	51097
147	8858	50995
148	8911	50896
149	8966	50812
150	9034	50795
151	9082	50671
152	9134	50566
153	9178	50419
154	9225	50291
155	9274	50178
156	9322	50058
157	9380	49991
158	9430	49883
159	9481	49778
160	9525	49641
161	9565	49482
162	9621	49404
163	9669	49292
164	9711	49144
165	9759	49033
166	9804	48906
167	9856	48813
168	9906	48712
169	9946	48564
170	10040	48677
171	10119	48716
172	10197	48748
173	10253	48673
174	10313	48619
175	10372	48562
176	10420	48454
177	10470	48351
178	10522	48264
179	10611	48343
180	10694	48390
181	10769	48405
182	10826	48336
183	10878	48245
184	10925	48130
185	10970	48011
186	11022	47920
187	11085	47880
188	11142	47812
189	11188	47696
190	11237	47599
191	11288	47504
192	11338	47411
193	11403	47376
194	11457	47300
195	11506	47201
196	11549	47076
197	11604	47006
198	11654	46909
199	11700	46803
200	11752	46718
201	11798	46608
202	11844	46503
203	11892	46405
204	11933	46279
205	11982	46185
206	12034	46103
207	12081	46002
208	12118	45866
209	12179	45819
210	12229	45729
211	12279	45644
212	12331	45563
213	12425	45637
214	12580	45934
215	12678	46019
216	12742	45977
217	12795	45899
218	12849	45825
219	12894	45718
220	12935	45597
221	12984	45502
222	13062	45515
223	13112	45425
224	13164	45342
225	13235	45327
226	13288	45250
227	13338	45163
228	13401	45121
229	13489	45161
230	13538	45071
231	13590	44990
232	13640	44902
233	13740	44979
234	13803	44933
235	13855	44855
236	13900	44752
237	13947	44654
238	13998	44573
239	14040	44462
240	14091	44380
241	14141	44293
242	14190	44205
243	14229	44088
244	14277	43997
245	14326	43911
246	14368	43802
247	14408	43691
248	14467	43633
249	14523	43569
250	14578	43503
251	14625	43411
252	14674	43328
253	14724	43245
254	14775	43166
255	14818	43067
256	14869	42989
257	14923	42919
258	14987	42880
259	15085	42934
260	15144	42879
261	15193	42796
262	15244	42718
263	15296	42644
264	15339	42546
265	15393	42475
266	15440	42389
267	15490	42308
268	15543	42239
269	15632	42264
270	15722	42293
271	15804	42300
272	15858	42231
273	15908	42150
274	15953	42060
275	16000	41971
276	16034	41851
277	16102	41820
278	16175	41802
279	16222	41714
280	16267	41623
281	16319	41550
282	16365	41462
283	16415	41384
284	16475	41333
285	16533	41276
286	16580	41192
287	16634	41123
288	16689	41059
289	16739	40983
290	16792	40912
291	16842	40836
292	16895	40767
293	16944	40690
294	16992	40609
295	17030	40504
296	17071	40407
297	17117	40324
298	17161	40234
299	17213	40165
300	17268	40101
301	17320	40031
302	17382	39985
303	17471	40001
304	17545	39979
305	17599	39915
306	17651	39844
307	17700	39768
308	17754	39702
309	17806	39633
310	17858	39565
311	17907	39489
312	17959	39418
313	17999	39324
314	18044	39238
315	18093	39164
316	18136	39075
317	18187	39006
318	18232	38923
319	18282	38850
320	18328	38769
321	18376	38693
322	18420	38608
323	18475	38547
324	18571	38572
325	18626	38509
326	18674	38433
327	18735	38384
328	18830	38405
329	18875	38322
330	18931	38262
331	19011	38251
332	19058	38174
333	19109	38104
334	19157	38028
335	19206	37956
336	19248	37869
337	19296	37793
338	19346	37722
339	19392	37644
340	19443	37574
341	19492	37503
342	19539	37427
343	19588	37354
344	19638	37285
345	19685	37208
346	19728	37126
347	19808	37111
348	19891	37103
349	19940	37032
350	19989	36960
351	20036	36885
352	20082	36809
353	20129	36733
354	20178	36661
355	20230	36596
356	20281	36529
357	20327	36452
358	20380	36389
359	20426	36313
360	20473	36240
361	20522	36169
362	20578	36111
363	20627	36041
364	20675	35970
365	20708	35872
366	20760	35807
367	20812	35743
368	20860	35672
369	20903	35592
370	20946	35512
371	20998	35449
372	21047	35379
373	21100	35318
374	21178	35298
375	21236	35242
376	21272	35153
377	21312	35069
378	21362	35002
379	21409	34931
380	21449	34848
381	21496	34776
