,,,,,,,,,
,,,,,,Supply,Demand,Balance Sheet,
,Produksi Setara (Kg),Kebutuhan Setara (Kg),PRODUKSI DAN KEBUTUHAN DOC AYAM RAS MENURUT PROVINSI BULAN MEI - JULI TAHUN 2020,,,,,,
,"12,429,730","7,471,622",Tahun,Bulan,Provinsi,Produksi (Ekor),Kebutuhan (Ekor),Neraca (Ekor),Prosentase Neraca (%)
,"6,935,135","2,974,324",2020,MAY,RIAU,"6,541,963","3,932,432","2,609,531",66.36%
,"74,451,351","53,086,486",2020,MAY,KEPULAUAN RIAU,"3,650,071","1,565,434","2,084,637",133.17%
,"66,298,649","32,712,162",2020,MAY,JAWA BARAT,"39,184,922","27,940,256","11,244,666",40.25%
,"18,727,027","13,732,432",2020,MAY,JAWA TENGAH,"34,894,026","17,216,927","17,677,098",102.67%
,"5,864,865","5,255,405",2020,MAY,BANTEN,"9,856,330","7,227,596","2,628,734",36.37%
,"2,531,081","1,389,189",2020,MAY,BALI,"3,086,771","2,766,003","320,768",11.60%
,"5,441,892","3,818,919",2020,MAY,NTT,"1,332,148","731,152","600,996",82.20%
,"6,064,865","4,375,676",2020,MAY,KALIMANTAN BARAT,"2,864,154","2,009,957","854,196",42.50%
,"11,871,622","11,487,838",2020,MAY,KALIMANTAN SELATAN,"3,192,034","2,302,987","889,047",38.60%
,"6,595,946","7,177,027",2020,MAY,SUMATERA UTARA,"6,248,222","6,046,230","201,991",3.34%
,"6,190,541","5,743,243",2020,MAY,SUMATERA SELATAN,"3,471,550","3,777,383","-305,832",-8.10%
,"1,875,676","1,777,027",2020,MAY,LAMPUNG,"3,258,179","3,022,760","235,420",7.79%
,"42,055,405","44,966,216",2020,MAY,KEPULAUAN BABEL,"987,198","935,277","51,920",5.55%
,"6,240,541","6,063,514",2020,MAY,JAWA TIMUR,"22,134,424","23,666,430","-1,532,006",-6.47%
,"3,078,378","4,017,568",2020,MAY,SULAWESI SELATAN,"3,284,495","3,191,323","93,172",2.92%
,"2,877,027","3,705,405",2020,MAY,ACEH,"1,620,199","2,114,509","-494,310",-23.38%
,"393,243","504,054",2020,MAY,NTB,"1,514,225","1,950,213","-435,989",-22.36%
,"4,450,000","6,127,027",2020,MAY,KALIMANTAN UTARA,"206,970","265,292","-58,321",-21.98%
,"2,322,973","3,209,459",2020,MAY,SUMATERA BARAT,"2,342,105","3,224,751","-882,646",-27.37%
,"635,135","1,368,919",2020,MAY,JAMBI,"1,222,617","1,689,189","-466,572",-27.62%
,"2,131,081","18,995,946",2020,MAY,BENGKULU,"334,282","720,484","-386,202",-53.60%
,"4,817,568","6,454,054",2020,MAY,DKI JAKARTA,"1,121,622","9,997,866","-8,876,245",-88.78%
,"2,187,838","3,598,649",2020,MAY,DI YOGYAKARTA,"2,535,562","3,396,871","-861,309",-25.36%
,"3,428,378","5,498,649",2020,MAY,KALIMANTAN TENGAH,"1,151,494","1,894,026","-742,532",-39.20%
,"478,378","1,627,027",2020,MAY,KALIMANTAN TIMUR,"1,804,410","2,894,026","-1,089,616",-37.65%
,"317,568","1,304,054",2020,MAY,SULAWESI UTARA,"251,778","856,330","-604,552",-70.60%
,"125,676","877,027",2020,MAY,SULAWESI TENGAH,"167,141","686,344","-519,203",-75.65%
,"124,324","533,784",2020,MAY,SULAWESI TENGGARA,"66,145","461,593","-395,448",-85.67%
,"125,676","509,459",2020,MAY,GORONTALO,"65,434","280,939","-215,505",-76.71%
,"81,081","741,892",2020,MAY,SULAWESI BARAT,"66,145","268,137","-201,991",-75.33%
,"2,703","401,351",2020,MAY,MALUKU,"42,674","390,469","-347,795",-89.07%
,"58,108","139,189",2020,MAY,MALUKU UTARA,"1,422","211,238","-209,815",-99.33%
,"533,784","1,912,162",2020,MAY,PAPUA BARAT,"30,583","73,257","-42,674",-58.25%
,"4,567,568","3,748,649",2020,MAY,PAPUA,"280,939","1,006,401","-725,462",-72.08%
,"17,616,216","10,717,568",2020,JUNE,ACEH,"2,403,983","1,972,973","431,010",21.85%
,"6,604,054","5,714,865",2020,JUNE,SUMATERA UTARA,"9,271,693","5,640,825","3,630,868",64.37%
,"18,444,595","6,970,270",2020,JUNE,SUMATERA BARAT,"3,475,818","3,007,824","467,994",15.56%
,"3,445,946","2,993,243",2020,JUNE,RIAU,"9,707,681","3,668,563","6,039,118",164.62%
,"9,787,838","6,695,946",2020,JUNE,JAMBI,"1,813,656","1,575,391","238,265",15.12%
,"9,186,486","5,358,108",2020,JUNE,SUMATERA SELATAN,"5,151,494","3,524,182","1,627,312",46.18%
,"2,782,432","1,658,108",2020,JUNE,LAMPUNG,"4,834,993","2,820,057","2,014,936",71.45%
,"10,291,892","2,774,324",2020,JUNE,KEPULAUAN BABEL,"1,464,438","872,688","591,750",67.81%
,"110,477,027","49,524,324",2020,JUNE,KEPULAUAN RIAU,"5,416,785","1,460,171","3,956,615",270.97%
,"98,379,730","30,516,216",2020,JUNE,JAWA BARAT,"58,145,804","26,065,434","32,080,370",123.08%
