UNIT,TAILS,KG,SALES PER KG,ABW,CHICKEN SIZE,PROVINCE,YEAR,MONTH,DAY,SupplyProvince,DemandProvince,Holiday
PAYAKUMBUH,1267,2856.0,18000.0,2.254143646,LARGE,SUMATERA BARAT,19,12,1,3885216,5993194,1
SINJAI,3310,7799.5,22637.8973,2.356344411,LARGE,SULAWESI SELATAN,19,12,1,5447863,5931514,1
BANDAR JAYA,8236,22197.0,15905.01419,2.69511899,LARGE,LAMPUNG,19,12,1,5404511,5618463,1
BANDAR LAMPUNG,2565,4971.0,18060.47073,1.938011696,MEDIUM,LAMPUNG,19,12,1,5404511,5618463,1
BANYUASIN,696,1464.4,16368.88828,2.104022989,LARGE,SUMATERA SELATAN,19,12,1,5758528,7021239,1
MUAROBUNGO,2616,6516.0,17791.03745,2.490825688,LARGE,JAMBI,19,12,1,2027640,3139312,1
JAMBI,1955,3380.2,17675.96592,1.729002558,MEDIUM,JAMBI,19,12,1,2027640,3139312,1
50 KOTA,11175,22478.4,18128.85259,2.011489933,LARGE,SUMATERA BARAT,19,12,1,3885216,5993194,1
MUARO JAMBI,8936,17277.4,17500.0,1.933460161,MEDIUM,JAMBI,19,12,1,2027640,3139312,1
PADANG,4238,5887.6,19757.15062,1.389240208,SMALL,SUMATERA BARAT,19,12,1,3885216,5993194,1
PARIAMAN,1992,3284.4,18947.23542,1.648795181,MEDIUM,SUMATERA BARAT,19,12,1,3885216,5993194,1
BENGKULU,10722,20147.6,17512.0461,1.879089722,MEDIUM,BENGKULU,19,12,1,554903,1339242,1
SENGKANG,1770,3511.0,24255.36884,1.983615819,MEDIUM,SULAWESI SELATAN,19,12,1,5447863,5931514,1
GOWA,8020,14162.9,23120.39907,1.765947631,MEDIUM,SULAWESI SELATAN,19,12,1,5447863,5931514,1
MAROS,4165,9395.3,23020.28674,2.25577431,LARGE,SULAWESI SELATAN,19,12,1,5447863,5931514,1
MANADO,5876,11151.6,23337.49417,1.897821647,MEDIUM,SULAWESI UTARA,19,12,1,418044,1591997,1
MAKASAR,648,1281.6,23274.96879,1.977777778,MEDIUM,SULAWESI SELATAN,19,12,1,5447863,5931514,1
KENDARI,4510,7035.3,25547.0982,1.559933481,MEDIUM,SULAWESI TENGGARA,19,12,1,109780,858620,1
GORONTALO,600,976.5,23000.0,1.6275,MEDIUM,GORONTALO,19,12,1,108310,521596,1
