,Date,Holiday
,01/12/19,True
,02/12/19,False
,03/12/19,False
,04/12/19,False
,05/12/19,False
,06/12/19,False
,07/12/19,False
,08/12/19,True
,09/12/19,False
,10/12/19,False
,11/12/19,False
,12/12/19,False
,13/12/19,False
,14/12/19,False
,15/12/19,True
,16/12/19,False
,17/12/19,False
,18/12/19,False
,19/12/19,False
,20/12/19,False
,21/12/19,False
,22/12/19,True
,23/12/19,False
,24/12/19,True
,25/12/19,True
,26/12/19,True
,27/12/19,False
,28/12/19,False
,29/12/19,True
,30/12/19,False
,31/12/19,False
,01/01/20,True
,02/01/20,False
,03/01/20,False
,04/01/20,False
,05/01/20,True
,06/01/20,False
,07/01/20,False
,08/01/20,False
,09/01/20,False
,10/01/20,False
,11/01/20,False
,12/01/20,True
,13/01/20,False
,14/01/20,False
,15/01/20,False
,16/01/20,False
,17/01/20,False
,18/01/20,False
,19/01/20,True
,20/01/20,False
,21/01/20,False
,22/01/20,False
,23/01/20,False
,24/01/20,False
,25/01/20,True
,26/01/20,True
,27/01/20,False
,28/01/20,False
,29/01/20,False
,30/01/20,False
,31/01/20,False
,01/02/20,False
,02/02/20,True
,03/02/20,False
,04/02/20,False
,05/02/20,False
,06/02/20,False
,07/02/20,False
,08/02/20,False
,09/02/20,True
,10/02/20,False
,11/02/20,False
,12/02/20,False
,13/02/20,False
,14/02/20,False
,15/02/20,False
,16/02/20,True
,17/02/20,False
,18/02/20,False
,19/02/20,False
,20/02/20,False
,21/02/20,False
,22/02/20,False
,23/02/20,True
,24/02/20,False
,25/02/20,False
,26/02/20,False
,27/02/20,False
,28/02/20,False
,29/02/20,False
,01/03/20,True
,02/03/20,False
,03/03/20,False
,04/03/20,False
,05/03/20,False
,06/03/20,False
,07/03/20,False
,08/03/20,True
,09/03/20,False
,10/03/20,False
,11/03/20,False
,12/03/20,False
,13/03/20,False
,14/03/20,False
,15/03/20,True
,16/03/20,False
,17/03/20,False
,18/03/20,False
,19/03/20,False
,20/03/20,False
,21/03/20,False
,22/03/20,True
,23/03/20,False
,24/03/20,False
,25/03/20,True
,26/03/20,False
,27/03/20,False
,28/03/20,False
,29/03/20,True
,30/03/20,False
,31/03/20,False
,01/04/20,False
,02/04/20,False
,03/04/20,False
,04/04/20,False
,05/04/20,True
,06/04/20,False
,07/04/20,False
,08/04/20,False
,09/04/20,False
,10/04/20,True
,11/04/20,False
,12/04/20,True
,13/04/20,False
,14/04/20,False
,15/04/20,False
,16/04/20,False
,17/04/20,False
,18/04/20,False
,19/04/20,True
,20/04/20,False
,21/04/20,False
,22/04/20,False
,23/04/20,False
,24/04/20,True
,25/04/20,True
,26/04/20,True
,27/04/20,True
,28/04/20,True
,29/04/20,True
,30/04/20,True
,01/05/20,True
,02/05/20,True
,03/05/20,True
,04/05/20,True
,05/05/20,True
,06/05/20,True
,07/05/20,True
,08/05/20,True
,09/05/20,True
,10/05/20,True
,11/05/20,True
,12/05/20,True
,13/05/20,True
,14/05/20,True
,15/05/20,True
,16/05/20,True
,17/05/20,True
,18/05/20,True
,19/05/20,True
,20/05/20,True
,21/05/20,True
,22/05/20,True
,23/05/20,True
,24/05/20,True
,25/05/20,True
,26/05/20,True
,27/05/20,True
,28/05/20,False
,29/05/20,False
,30/05/20,False
,31/05/20,True
,01/06/20,True
,02/06/20,False
,03/06/20,False
,04/06/20,False
,05/06/20,False
,06/06/20,False
,07/06/20,True
,08/06/20,False
,09/06/20,False
,10/06/20,False
,11/06/20,False
,12/06/20,False
,13/06/20,False
,14/06/20,True
,15/06/20,False
,16/06/20,False
,17/06/20,False
,18/06/20,False
,19/06/20,False
,20/06/20,False
,21/06/20,True
,22/06/20,False
,23/06/20,False
,24/06/20,False
,25/06/20,False
,26/06/20,False
,27/06/20,False
,28/06/20,True
,29/06/20,False
,30/06/20,False
,01/07/20,False
,02/07/20,False
,03/07/20,False
,04/07/20,False
,05/07/20,True
,06/07/20,False
,07/07/20,False
,08/07/20,False
,09/07/20,False
,10/07/20,False
,11/07/20,False
,12/07/20,True
,13/07/20,False
,14/07/20,False
,15/07/20,False
,16/07/20,False
,17/07/20,False
,18/07/20,False
,19/07/20,True
,20/07/20,False
,21/07/20,False
,22/07/20,False
,23/07/20,False
,24/07/20,False
,25/07/20,False
,26/07/20,True
,27/07/20,False
,28/07/20,False
,29/07/20,False
,30/07/20,False
,31/07/20,True
,01/08/20,False
,02/08/20,True
,03/08/20,False
,04/08/20,False
,05/08/20,False
,06/08/20,False
,07/08/20,False
,08/08/20,False
,09/08/20,True
,10/08/20,False
,11/08/20,False
,12/08/20,False
,13/08/20,False
,14/08/20,False
,15/08/20,False
,16/08/20,True
,17/08/20,True
,18/08/20,False
,19/08/20,False
,20/08/20,True
,21/08/20,False
,22/08/20,False
,23/08/20,True
,24/08/20,False
,25/08/20,False
,26/08/20,False
,27/08/20,False
,28/08/20,False
,29/08/20,False
,30/08/20,True
,31/08/20,False
,01/09/20,False
,02/09/20,False
,03/09/20,False
,04/09/20,False
,05/09/20,False
,06/09/20,True
,07/09/20,False
,08/09/20,False
,09/09/20,False
,10/09/20,False
,11/09/20,False
,12/09/20,False
,13/09/20,True
,14/09/20,False
,15/09/20,False
,16/09/20,False
,17/09/20,False
,18/09/20,False
,19/09/20,False
,20/09/20,True
,21/09/20,False
,22/09/20,False
