Month_Year,Province,SupplyProvince,DemandProvince
Dec 2019,ACEH,2687246,3930723
Dec 2019,BALI,5120529,5141045
Dec 2019,BANTEN,16349469,13433846
Dec 2019,BENGKULU,554903,1339242
Dec 2019,DI YOGYAKARTA,4206148,6313628
Dec 2019,DKI JAKARTA,1860371,18583186
Dec 2019,GORONTALO,108310,521596
Dec 2019,JAMBI,2027640,3139312
Dec 2019,JAWA BARAT,64997688,51933021
Dec 2019,JAWA TENGAH,57880193,32000912
Dec 2019,JAWA TIMUR,36715663,43989186
Dec 2019,KALIMANTAN BARAT,4751179,3735503
Dec 2019,KALIMANTAN SELATAN,5294465,4280602
Dec 2019,KALIMANTAN TENGAH,1909996,3520988
Dec 2019,KALIMANTAN TIMUR,2993382,5379063
Dec 2019,KALIMANTAN UTARA,342939,493065
Dec 2019,KEPULAUAN BABEL,1637212,1738389
Dec 2019,KEPULAUAN RIAU,6054784,2909590
Dec 2019,LAMPUNG,5404511,5618463
Dec 2019,MALUKU,70693,725551
Dec 2019,MALUKU UTARA,1862,392235
Dec 2019,NTB,2511725,3624871
Dec 2019,NTT,2209704,1358996
Dec 2019,NUSA TENGGARA BARAT,2511500,3624396
Dec 2019,NUSA TENGGARA TIMUR,2209922,1359059
Dec 2019,PAPUA,466464,1870516
Dec 2019,PAPUA BARAT,50821,136273
Dec 2019,RIAU,10851716,7309435
Dec 2019,SULAWESI BARAT,109780,498595
Dec 2019,SULAWESI SELATAN,5447863,5931514
Dec 2019,SULAWESI TENGAH,277314,1276180
Dec 2019,SULAWESI TENGGARA,109780,858620
Dec 2019,SULAWESI UTARA,418044,1591997
Dec 2019,SUMATERA BARAT,3885216,5993194
Dec 2019,SUMATERA SELATAN,5758528,7021239
Dec 2019,SUMATERA UTARA,10364174,11238306
Jan 2020,ACEH,2431642,3930723
Jan 2020,BALI,4633478,5141045
Jan 2020,BANTEN,14794351,13433846
Jan 2020,BENGKULU,502122,1339242
Jan 2020,DI YOGYAKARTA,3806070,6313628
Jan 2020,DKI JAKARTA,1683418,18583186
Jan 2020,GORONTALO,98008,521596
Jan 2020,JAMBI,1834776,3139312
Jan 2020,JAWA BARAT,58815281,51933021
Jan 2020,JAWA TENGAH,52374783,32000912
Jan 2020,JAWA TIMUR,33223367,43989186
Jan 2020,KALIMANTAN BARAT,4299259,3735503
Jan 2020,KALIMANTAN SELATAN,4790870,4280602
Jan 2020,KALIMANTAN TENGAH,1728322,3520988
Jan 2020,KALIMANTAN TIMUR,2708660,5379063
Jan 2020,KALIMANTAN UTARA,310320,493065
Jan 2020,KEPULAUAN BABEL,1481484,1738389
Jan 2020,KEPULAUAN RIAU,5478869,2909590
Jan 2020,LAMPUNG,4890448,5618463
Jan 2020,MALUKU,63969,725551
Jan 2020,MALUKU UTARA,1685,392235
Jan 2020,NTB,2272817,3624871
Jan 2020,NTT,1999523,1358996
Jan 2020,NUSA TENGGARA BARAT,2272613,3624396
Jan 2020,NUSA TENGGARA TIMUR,1999720,1359059
Jan 2020,PAPUA,422095,1870516
Jan 2020,PAPUA BARAT,45987,136273
Jan 2020,RIAU,9819529,7309435
Jan 2020,SULAWESI BARAT,99338,498595
Jan 2020,SULAWESI SELATAN,4929676,5931514
Jan 2020,SULAWESI TENGAH,250937,1276180
Jan 2020,SULAWESI TENGGARA,99338,858620
Jan 2020,SULAWESI UTARA,378281,1591997
Jan 2020,SUMATERA BARAT,3515665,5993194
Jan 2020,SUMATERA SELATAN,5210792,7021239
Jan 2020,SUMATERA UTARA,9378361,11238306
Feb 2020,ACEH,2329149,2515667
Feb 2020,BALI,4438178,3290275
Feb 2020,BANTEN,14170772,8597677
Feb 2020,BENGKULU,480957,857116
Feb 2020,DI YOGYAKARTA,3645645,4040729
Feb 2020,DKI JAKARTA,1612462,11893260
Feb 2020,GORONTALO,93877,333822
Feb 2020,JAMBI,1757441,2009163
Feb 2020,JAWA BARAT,56336231,33237191
Feb 2020,JAWA TENGAH,50167199,20480620
Feb 2020,JAWA TIMUR,31823010,28153128
Feb 2020,KALIMANTAN BARAT,4118046,2390726
Feb 2020,KALIMANTAN SELATAN,4588936,2739590
Feb 2020,KALIMANTAN TENGAH,1655474,2253436
Feb 2020,KALIMANTAN TIMUR,2594490,3442606
Feb 2020,KALIMANTAN UTARA,297240,315562
Feb 2020,KEPULAUAN BABEL,1419040,1112571
Feb 2020,KEPULAUAN RIAU,5247936,1862141
Feb 2020,LAMPUNG,4684317,3595822
Feb 2020,MALUKU,61273,464354
Feb 2020,MALUKU UTARA,1614,251030
Feb 2020,NTB,2177018,2319921
Feb 2020,NTT,1915244,869759
Feb 2020,NUSA TENGGARA BARAT,2176823,2319617
Feb 2020,NUSA TENGGARA TIMUR,1915433,869799
Feb 2020,PAPUA,404304,1197132
Feb 2020,PAPUA BARAT,44049,87215
Feb 2020,RIAU,9405638,4678046
Feb 2020,SULAWESI BARAT,95151,319101
Feb 2020,SULAWESI SELATAN,4721892,3796175
Feb 2020,SULAWESI TENGAH,240360,816756
Feb 2020,SULAWESI TENGGARA,95151,549518
Feb 2020,SULAWESI UTARA,362336,1018880
Feb 2020,SUMATERA BARAT,3367480,3835651
Feb 2020,SUMATERA SELATAN,4991159,4493601
Feb 2020,SUMATERA UTARA,8983066,7192529
Mar 2020,ACEH,2648663,2572688
Mar 2020,BALI,5047008,3364853
Mar 2020,BANTEN,16114722,8792554
Mar 2020,BENGKULU,546935,876544
Mar 2020,DI YOGYAKARTA,4145755,4132317
Mar 2020,DKI JAKARTA,1833660,12162836
